id_sexo;sexo;id_grupo_etario;grupo_etario;anio;tasa_vih
3;Ambos sexos;10;total_grupo;2014;15,6
3;Ambos sexos;10;total_grupo;2015;15,6
3;Ambos sexos;10;total_grupo;2016;14,6
3;Ambos sexos;10;total_grupo;2017;11,8
3;Ambos sexos;10;total_grupo;2018;13,6
3;Ambos sexos;10;total_grupo;2019;14
3;Ambos sexos;10;total_grupo;2020;8,8
3;Ambos sexos;10;total_grupo;2021;12,6
3;Ambos sexos;10;total_grupo;2022;13,3
3;Ambos sexos;10;total_grupo;2023;14,1
3;Ambos sexos;1;0 - 9;2014;1,4
3;Ambos sexos;1;0 - 9;2015;0,8
3;Ambos sexos;1;0 - 9;2016;0,9
3;Ambos sexos;1;0 - 9;2017;0,5
3;Ambos sexos;1;0 - 9;2018;0,3
3;Ambos sexos;1;0 - 9;2019;0,5
3;Ambos sexos;1;0 - 9;2020;0,2
3;Ambos sexos;1;0 - 9;2021;0,5
3;Ambos sexos;1;0 - 9;2022;0,3
3;Ambos sexos;1;0 - 9;2023;0,4
3;Ambos sexos;2;10 - 14;2014;0,6
3;Ambos sexos;2;10 - 14;2015;0,6
3;Ambos sexos;2;10 - 14;2016;0,3
3;Ambos sexos;2;10 - 14;2017;0,2
3;Ambos sexos;2;10 - 14;2018;0,3
3;Ambos sexos;2;10 - 14;2019;0,2
3;Ambos sexos;2;10 - 14;2020;0,1
3;Ambos sexos;2;10 - 14;2021;0,4
3;Ambos sexos;2;10 - 14;2022;0,1
3;Ambos sexos;2;10 - 14;2023;0,2
3;Ambos sexos;3;15 - 19;2014;7,5
3;Ambos sexos;3;15 - 19;2015;8,9
3;Ambos sexos;3;15 - 19;2016;7,7
3;Ambos sexos;3;15 - 19;2017;6,8
3;Ambos sexos;3;15 - 19;2018;7,3
3;Ambos sexos;3;15 - 19;2019;7,1
3;Ambos sexos;3;15 - 19;2020;3,3
3;Ambos sexos;3;15 - 19;2021;5,9
3;Ambos sexos;3;15 - 19;2022;4,4
3;Ambos sexos;3;15 - 19;2023;5,4
3;Ambos sexos;4;20 - 24;2014;29,2
3;Ambos sexos;4;20 - 24;2015;30,2
3;Ambos sexos;4;20 - 24;2016;30,3
3;Ambos sexos;4;20 - 24;2017;22,7
3;Ambos sexos;4;20 - 24;2018;27,3
3;Ambos sexos;4;20 - 24;2019;27,3
3;Ambos sexos;4;20 - 24;2020;15,5
3;Ambos sexos;4;20 - 24;2021;21,5
3;Ambos sexos;4;20 - 24;2022;22,9
3;Ambos sexos;4;20 - 24;2023;21,9
3;Ambos sexos;5;25 - 34;2014;36,8
3;Ambos sexos;5;25 - 34;2015;36,8
3;Ambos sexos;5;25 - 34;2016;33,8
3;Ambos sexos;5;25 - 34;2017;27,9
3;Ambos sexos;5;25 - 34;2018;31,6
3;Ambos sexos;5;25 - 34;2019;32,7
3;Ambos sexos;5;25 - 34;2020;21,5
3;Ambos sexos;5;25 - 34;2021;29,8
3;Ambos sexos;5;25 - 34;2022;31
3;Ambos sexos;5;25 - 34;2023;32,3
3;Ambos sexos;6;35 - 44;2014;27,7
3;Ambos sexos;6;35 - 44;2015;27,1
3;Ambos sexos;6;35 - 44;2016;25,8
3;Ambos sexos;6;35 - 44;2017;20,4
3;Ambos sexos;6;35 - 44;2018;23,1
3;Ambos sexos;6;35 - 44;2019;24,5
3;Ambos sexos;6;35 - 44;2020;15,3
3;Ambos sexos;6;35 - 44;2021;22,1
3;Ambos sexos;6;35 - 44;2022;23,9
3;Ambos sexos;6;35 - 44;2023;25
3;Ambos sexos;7;45 - 54;2014;19,5
